County,Missing_Hand,Missing_Foot,Lame,Blind,Deaf,Dumb,Mental,Paralyzed,Other,Total_Count,Location_1,OBJECTID
Baringo,10.9%,2.8%,30.9%,2.6%,1%,3.8%,12.4%,54.2%,10.9%,6512.1,"(0.512912, 35.952537)",0
Bomet,0%,0%,29.2%,10%,8.1%,8.1%,14.2%,0.3%,38.7%,6538,"(-0.690131, 35.278005)",1
Bungoma,12.3%,0%,49.2%,0%,2.3%,20.8%,12.7%,0%,21.9%,13170.6,"(0.737046, 34.672536)",2
Busia,0%,0%,14.3%,12.3%,4.6%,35.5%,4.8%,14.8%,31.4%,6655.5,"(0.428414, 34.210571)",3
Elgeyo Marakwet,0%,0%,31.7%,0%,35.7%,0%,20%,12.6%,7.4%,3599.9,"(0.806011, 35.564093)",4
Embu,0%,0%,55.1%,0%,0%,3%,3%,2.5%,41.8%,6287.4,"(-0.5982, 37.653906)",5
Garissa,0%,37.1%,0%,0%,0%,0%,11.3%,11.3%,51.6%,1864.1,"(-0.564679, 40.408457)",6
Homa Bay,2.1%,0%,20.9%,6.7%,6.3%,5.2%,11.3%,9%,48.3%,23696.8,"(-0.640985, 34.411083)",7
Isiolo,13.9%,3.3%,32.6%,38.6%,12.9%,0%,0%,2%,19.8%,2154.4,"(0.949302, 38.614718)",8
Kajiado,0%,0%,26.9%,19%,0%,0%,27.6%,0%,45.5%,3250.3,"(-2.221971, 36.980268)",9
Kakamega,1%,0%,30.1%,6.8%,0.5%,4.8%,3.6%,6.3%,51.7%,27468.9,"(0.308499, 34.654844)",10
Kericho,0%,0%,0%,4.8%,0%,0%,0%,21.7%,73.6%,3055.8,"(-0.297842, 35.319833)",11
Kiambu,0%,0%,0%,10.1%,0%,0%,70.7%,7.6%,11.6%,10099.9,"(-1.060698, 36.79929)",12
Kilifi,2.5%,0%,35.5%,18.2%,13.8%,7.1%,29.3%,9.9%,2.5%,6996.6,"(-3.279972, 39.63501)",13
Kirinyaga,0%,0%,4.2%,0%,0%,0%,66.4%,33.6%,0%,2522.8,"(-0.517766, 37.302006)",14
Kisii,0%,6.6%,7%,12.7%,10.2%,6.6%,22.1%,11%,23.8%,9627.8,"(-0.782524, 34.766895)",15
Kisumu,7.6%,0%,32.7%,0%,0%,4.5%,17.7%,3%,41.4%,20026.3,"(-0.167225, 34.953647)",16
Kitui,0%,9.3%,11%,17.2%,0%,36.4%,17.7%,19.4%,7.6%,4403,"(-1.519146, 38.376101)",17
Kwale,0%,9.1%,14.6%,7.4%,0%,19.9%,50.5%,6.4%,19.5%,8503,"(-4.242667, 39.174233)",18
Laikipia,0%,0%,45.2%,0%,0%,54.8%,0%,0%,0%,1825.7,"(0.311627, 36.814178)",19
Lamu,0%,0%,0%,0%,0%,26.1%,8.6%,2.9%,65.3%,524.9,"(-2.03752, 40.688214)",20
Machakos,0%,0%,12.6%,0%,0%,10.3%,18.8%,18%,58.9%,23460.4,"(-1.327138, 37.352277)",21
Makueni,0%,0%,16.7%,31.5%,4.7%,9.2%,19.7%,10.9%,30.5%,15475.4,"(-2.211917, 37.865047)",22
Mandera,0%,1.4%,8.9%,14%,25.9%,11.8%,29.6%,9.2%,10.9%,3343.5,"(3.46712, 40.704671)",23
Marsabit,1.5%,9.7%,16.2%,8.6%,18.8%,9.6%,11.6%,23.9%,18.3%,3931.5,"(2.772167, 37.76822)",24
Meru,0%,0%,34.7%,0%,0%,11.6%,12.3%,4%,57.2%,19166.3,"(0.159398, 37.750761)",25
Migori,6%,6.9%,29.4%,1.4%,4%,0%,8.6%,15.4%,30.1%,15359.3,"(-1.008592, 34.42681)",26
Mombasa,0%,0%,9.3%,24.5%,0%,1%,16.8%,25.8%,22.6%,5413.4,"(-3.998813, 39.632129)",27
